"variable","class","missing_n","missing_pct"
"DR1TVC","numeric",3204,20.6
"DR1TVD","numeric",3261,21
"DR1TVK","numeric",3186,20.5
"DR1TCALC","numeric",3185,20.5
"DR1TPHOS","numeric",3179,20.4
"DR1TMAGN","numeric",3205,20.6
"DR1TIRON","numeric",3177,20.4
"DR1TZINC","numeric",3181,20.4
"DR1TCOPP","numeric",3168,20.4
"DR1TSODI","numeric",3173,20.4
"DR1TPOTA","numeric",3176,20.4
"DR1TSELE","numeric",3184,20.5
"DR1TCAFF","numeric",3454,22.2
"DR1TTHEO","numeric",3453,22.2
"DR1TALCO","numeric",3176,20.4
"DR1TMOIS","numeric",3168,20.4
"DR1TS040","numeric",3168,20.4
"DR1TS060","numeric",3168,20.4
"DR1TS080","numeric",3168,20.4
"DR1TS100","numeric",3168,20.4
"DR1TS120","numeric",3168,20.4
"DR1TS140","numeric",3168,20.4
"DR1TS160","numeric",3168,20.4
"DR1TS180","numeric",3168,20.4
"DR1TM161","numeric",3168,20.4
"DR1TM181","numeric",3169,20.4
"DR1TM201","numeric",3168,20.4
"DR1TM221","numeric",3168,20.4
"DR1TP182","numeric",3169,20.4
"DR1TP183","numeric",3168,20.4
"DR1TP184","numeric",3168,20.4
"DR1TP204","numeric",3168,20.4
"DR1TP205","numeric",3168,20.4
"DR1TP225","numeric",3168,20.4
"DR1TP226","numeric",3168,20.4
"DR1_300","numeric",2872,18.5
"DR1_320Z","numeric",2927,18.8
"DR1_330Z","numeric",2926,18.8
"DR1BWATZ","numeric",2927,18.8
"DR1TWSZ","numeric",3361,21.6
"DRD340","numeric",3414,21.9
"DRD350A","numeric",10016,64.4
"DRD350AQ","numeric",14998,96.4
"DRD350B","numeric",10016,64.4
"DRD350BQ","numeric",14405,92.6
"DRD350C","numeric",10017,64.4
"DRD350CQ","numeric",15374,98.8
"DRD350D","numeric",10017,64.4
"DRD350DQ","numeric",15033,96.6
"DRD350E","numeric",10017,64.4
"DRD350EQ","numeric",15234,97.9
"DRD350F","numeric",10017,64.4
"DRD350FQ","numeric",15101,97.1
"DRD350G","numeric",10017,64.4
"DRD350GQ","numeric",15028,96.6
"DRD350H","numeric",10016,64.4
"DRD350HQ","numeric",10715,68.9
"DRD350I","numeric",10017,64.4
"DRD350IQ","numeric",15252,98
