"variable","class","missing_n","missing_pct"
"DR1TP182","numeric",5239,43.9
"DR1TP183","numeric",5239,43.9
"DR1TP184","numeric",5239,43.9
"DR1TP204","numeric",5239,43.9
"DR1TP205","numeric",5239,43.9
"DR1TP225","numeric",5239,43.9
"DR1TP226","numeric",5239,43.9
"DR1_300","numeric",5197,43.6
"DR1_320Z","numeric",5180,43.4
"DR1_330Z","numeric",5179,43.4
"DR1BWATZ","numeric",5180,43.4
"DR1TWSZ","numeric",5349,44.8
"DRD340","numeric",5293,44.4
"DRD350A","numeric",8900,74.6
"DRD350AQ","numeric",11677,97.9
"DRD350B","numeric",8900,74.6
"DRD350BQ","numeric",11387,95.4
"DRD350C","numeric",8900,74.6
"DRD350CQ","numeric",11871,99.5
"DRD350D","numeric",8900,74.6
"DRD350DQ","numeric",11620,97.4
"DRD350E","numeric",8900,74.6
"DRD350EQ","numeric",11716,98.2
"DRD350F","numeric",8900,74.6
"DRD350FQ","numeric",11705,98.1
"DRD350G","numeric",8900,74.6
"DRD350GQ","numeric",11576,97
"DRD350H","numeric",8900,74.6
"DRD350HQ","numeric",9295,77.9
"DRD350I","numeric",8901,74.6
"DRD350IQ","numeric",11712,98.1
"DRD350J","numeric",8901,74.6
"DRD350JQ","numeric",11918,99.9
"DRD350K","numeric",8902,74.6
"DRD360","numeric",5291,44.3
"DRD370A","numeric",7758,65
"DRD370AQ","numeric",11310,94.8
"DRD370B","numeric",7758,65
"DRD370BQ","numeric",10088,84.5
"DRD370C","numeric",7758,65
"DRD370CQ","numeric",11873,99.5
"DRD370D","numeric",7758,65
"DRD370DQ","numeric",11589,97.1
"DRD370E","numeric",7758,65
"DRD370EQ","numeric",11236,94.2
"DRD370F","numeric",7758,65
"DRD370FQ","numeric",11799,98.9
"DRD370G","numeric",7758,65
"DRD370GQ","numeric",11711,98.1
"DRD370H","numeric",7758,65
"DRD370HQ","numeric",11848,99.3
"DRD370I","numeric",7758,65
"DRD370IQ","numeric",11857,99.4
"DRD370J","numeric",7758,65
"DRD370JQ","numeric",11921,99.9
"DRD370K","numeric",7758,65
"DRD370KQ","numeric",11762,98.6
"DRD370L","numeric",7758,65
"DRD370LQ","numeric",11917,99.9
"DRD370M","numeric",7758,65
"DRD370MQ","numeric",9919,83.1
"DRD370N","numeric",7758,65
"DRD370NQ","numeric",11725,98.3
"DRD370O","numeric",7758,65
"DRD370OQ","numeric",11850,99.3
"DRD370P","numeric",7758,65
"DRD370PQ","numeric",11929,100
"DRD370Q","numeric",7758,65
"DRD370QQ","numeric",11888,99.6
"DRD370R","numeric",7758,65
"DRD370RQ","numeric",11781,98.7
